
=== MICROGRID 24-HOUR SIMULATION ===

Time       Solar(W)   Load(W)    Net(W)     Action       SOC(%)
---------------------------------------------------------------
 0: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 0:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 0:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 0:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 1: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 1:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 1:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 1:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 2: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 2:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 2:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 2:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 3: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 3:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 3:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 3:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 4: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 4:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 4:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 4:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 5: 0         0.0     72.5    -72.5   BLACKOUT    30.0%
 5:15         0.0     72.5    -72.5   BLACKOUT    30.0%
 5:30         0.0     72.5    -72.5   BLACKOUT    30.0%
 5:45         0.0     72.5    -72.5   BLACKOUT    30.0%
 6: 0        55.0     72.5    -17.5   BLACKOUT    30.0%
 6:15        55.0     72.5    -17.5   BLACKOUT    30.0%
 6:30        55.0     72.5    -17.5   BLACKOUT    30.0%
 6:45        55.0     72.5    -17.5   BLACKOUT    30.0%
 7: 0       220.0     72.5    147.5   CHARGE      31.7%
 7:15       220.0     72.5    147.5   CHARGE      33.3%
 7:30       220.0     72.5    147.5   CHARGE      35.0%
 7:45       220.0     72.5    147.5   CHARGE      36.6%
 8: 0       230.0     72.5    157.5   CHARGE      38.4%
 8:15       230.0     72.5    157.5   CHARGE      40.2%
 8:30       230.0     72.5    157.5   CHARGE      42.0%
 8:45       230.0     72.5    157.5   CHARGE      43.7%
 9: 0       230.0     72.5    157.5   CHARGE      45.5%
 9:15       230.0     72.5    157.5   CHARGE      47.3%
 9:30       230.0     72.5    157.5   CHARGE      49.1%
 9:45       230.0     72.5    157.5   CHARGE      50.8%
10: 0       255.0     72.5    182.5   CHARGE      52.9%
10:15       255.0     72.5    182.5   CHARGE      54.9%
10:30       255.0     72.5    182.5   CHARGE      57.0%
10:45       255.0     72.5    182.5   CHARGE      59.1%
11: 0       295.0     72.5    222.5   CHARGE      61.6%
11:15       295.0     72.5    222.5   CHARGE      64.1%
11:30       295.0     72.5    222.5   CHARGE      66.6%
11:45       295.0     72.5    222.5   CHARGE      69.1%
12: 0       350.0     72.5    277.5   CHARGE      72.2%
12:15       350.0     72.5    277.5   CHARGE      75.3%
12:30       350.0     72.5    277.5   CHARGE      78.5%
12:45       350.0     72.5    277.5   CHARGE      81.6%
13: 0       345.0     72.5    272.5   CHARGE      84.6%
13:15       345.0     72.5    272.5   CHARGE      87.7%
13:30       345.0     72.5    272.5   CHARGE      90.8%
13:45       345.0     72.5    272.5   CHARGE      93.9%
14: 0       322.5     72.5    250.0   CHARGE      96.7%
14:15       322.5     72.5    250.0   CHARGE      99.5%
14:30       322.5     72.5    250.0   CHARGE     100.0%
14:45       322.5     72.5    250.0   IDLE       100.0%
15: 0       400.0     72.5    327.5   IDLE       100.0%
15:15       400.0     72.5    327.5   IDLE       100.0%
15:30       400.0     72.5    327.5   IDLE       100.0%
15:45       400.0     72.5    327.5   IDLE       100.0%
16: 0       295.0     72.5    222.5   IDLE       100.0%
16:15       295.0     72.5    222.5   IDLE       100.0%
16:30       295.0     72.5    222.5   IDLE       100.0%
16:45       295.0     72.5    222.5   IDLE       100.0%
